field_name,fill_rate_pct,non_empty_count,empty_count
is_finance_contact,0.0,0,189055
is_service_contact,0.0,0,189055
last_modified_timestamp,0.0,0,189055
stp_purchased_date,0.0,0,189055
skip_activation_date,0.09,164,188891
skip_first_order_date,0.09,178,188877
skip_provisioned_date,0.18,333,188722
skip_purchased_date,0.25,481,188574
tenth_cande_free_trial_order_date,0.27,501,188554
fifth_cande_free_trial_order_date,0.5,939,188116
sling_premium_plan_start_date,0.5,954,188101
rma_requests_last_30_days,0.82,1559,187496
first_cande_free_trial_order_date,1.29,2439,186616
branded_mobile_app_activation_date,1.43,2708,186347
ads_activation_date,1.55,2921,186134
ads_first_order_date,1.55,2921,186134
branded_mobile_app_first_usage_date,1.55,2932,186123
online_ordering_pro_activation_date,1.58,2982,186073
online_ordering_pro_first_order_date,1.6,3027,186028
online_ordering_pro_provisioned_date,1.68,3185,185870
online_ordering_pro_purchased_date,1.72,3261,185794
toast_retail_activation_date,2.12,4010,185045
toast_retail_first_order_date,2.14,4045,185010
churn_date,2.22,4189,184866
toast_retail_provisioned_date,2.41,4554,184501
toast_tables_activation_date,2.51,4736,184319
toast_tables_first_booking_date,2.63,4964,184091
toast_retail_purchased_date,2.96,5600,183455
branded_mobile_app_purchased_date,3.05,5764,183291
catering_online_ordering_activation_date,3.11,5888,183167
has_open_xtrachef_upsell_opportunity,3.11,5888,183167
opt_activation_date,3.2,6045,183010
xtrachef_inventory_activation_date,3.21,6074,182981
has_open_catering_and_events_opportunity,3.39,6401,182654
has_open_catering_and_events_pro_opportunity,3.39,6401,182654
toast_tables_provisioned_date,3.39,6409,182646
catering_online_ordering_first_order_date,3.4,6419,182636
xtrachef_recipe_activation_date,3.63,6869,182186
ads_provisioned_date,3.71,7008,182047
toast_tables_purchased_date,3.78,7146,181909
toast_tables_plus_activation_date,3.82,7228,181827
toast_tables_plus_first_booking_date,3.92,7408,181647
ads_purchased_date,4.16,7867,181188
catering_and_events_activation_date,4.38,8276,180779
catering_online_ordering_provisioned_date,4.43,8373,180682
toast_tables_plus_provisioned_date,4.48,8468,180587
avg_csat_score_last_90_days,4.61,8712,180343
catering_and_events_first_order_date,4.93,9314,179741
catering_online_ordering_purchased_date,4.96,9381,179674
toast_tables_plus_purchased_date,4.99,9425,179630
xtrachef_inventory_provisioned_date,5.3,10023,179032
xtrachef_recipe_provisioned_date,5.3,10023,179032
xtrachef_ap_activation_date,5.67,10719,178336
xtrachef_inventory_purchased_date,5.89,11136,177919
xtrachef_recipe_purchased_date,5.89,11136,177919
kiosk_activation_date,6.35,12003,177052
cande_free_trial_start_date,6.47,12232,176823
sling_free_trial_start_date,6.55,12387,176668
cande_lifetime_order_count,6.67,12606,176449
sling_subscription_tier,6.78,12811,176244
toast_websites_activation_date,6.93,13093,175962
xtrachef_ap_provisioned_date,7.44,14066,174989
opt_provisioned_date,7.55,14272,174783
kiosk_provisioned_date,7.57,14315,174740
catering_and_events_provisioned_date,7.92,14967,174088
opt_purchased_date,8.01,15143,173912
xtrachef_ap_purchased_date,8.18,15465,173590
kiosk_purchased_date,8.59,16247,172808
catering_and_events_purchased_date,8.96,16947,172108
days_with_timesheet_edits,9.62,18192,170863
total_timesheet_edits,9.62,18192,170863
toast_now_app_downloaded_timestamp,9.66,18270,170785
has_enabled_tn_push_notifications_ever,9.72,18378,170677
toast_websites_provisioned_date,11.27,21309,167746
toast_websites_purchased_date,13.55,25616,163439
catering_and_events_last_order_type_created_date,13.6,25710,163345
catering_and_events_total_order_types,13.6,25710,163345
grubhub_activation_date,14.74,27876,161179
toast_capital_pre_qualified_latest_expiration_datetime,14.8,27988,161067
grubhub_first_order_date,15.06,28477,160578
tds_activation_date,16.56,31307,157748
tds_first_order_date,19.42,36721,152334
ubereats_activation_date,20.62,38991,150064
ubereats_first_order_date,20.97,39652,149403
marketing_activation_date,21.36,40373,148682
order_with_google_activation_date,21.49,40622,148433
grubhub_purchased_date,21.53,40702,148353
order_with_google_first_order_date,22.85,43206,145849
loyalty_activation_date,24.21,45779,143276
doordash_activation_date,25.32,47875,141180
doordash_first_order_date,25.6,48390,140665
ubereats_purchased_date,28.42,53735,135320
marketing_provisioned_date,29.12,55050,134005
tto_activation_date,31.87,60257,128798
marketing_purchased_date,32.54,61516,127539
doordash_purchased_date,33.1,62571,126484
loyalty_provisioned_date,33.32,62998,126057
any3po_provisioned_date,33.64,63593,125462
tds_provisioned_date,36.36,68748,120307
any3po_purchased_date,36.74,69459,119596
loyalty_purchased_date,37.0,69944,119111
parent_account_payroll_provisioned_date,39.31,74317,114738
gc_activation_date,39.68,75017,114038
oo_activation_date,39.97,75564,113491
kds_activation_date,40.83,77182,111873
tds_purchased_date,41.02,77548,111507
oo_first_order_date,42.04,79480,109575
kds_provisioned_date,42.47,80301,108754
gc_first_order_date,43.12,81516,107539
kds_purchased_date,46.61,88126,100929
oo_provisioned_date,50.01,94550,94505
gc_provisioned_date,51.24,96881,92174
tto_provisioned_date,51.47,97306,91749
number_of_tables,54.91,103819,85236
oo_purchased_date,54.95,103881,85174
order_with_google_purchased_date,54.95,103881,85174
gc_purchased_date,55.72,105334,83721
tto_purchased_date,56.12,106100,82955
order_with_google_provisioned_date,57.89,109439,79616
tip_amount_last_30_days,79.51,150319,38736
avg_check_size_last_30_days,79.53,150363,38692
gpv_last_30_days,79.53,150363,38692
tds_orders_last_30_days,81.27,153649,35406
tds_volume_last_30_days,81.27,153649,35406
customer_health_score_factor_1,88.41,167152,21903
customer_health_score_factor_2,88.41,167152,21903
gmv_tier,89.57,169337,19718
go_live_date,90.18,170482,18573
rsm_email,90.39,170893,18162
account_rsm,90.43,170964,18091
rsm_first_name,90.43,170964,18091
rsm_last_name,90.43,170964,18091
parent_account_employee_count,92.99,175809,13246
parent_account_live_location_count,93.84,177414,11641
business_unit,98.89,186953,2102
new_or_existing_restaurant,99.03,187220,1835
muo,99.25,187642,1413
products_purchased,99.33,187780,1275
account_restaurant_category,99.48,188069,986
active_elo_v1_past_30_days,99.54,188191,864
red_flag_tickets_last_30_days,99.54,188191,864
tickets_first_30_days,99.54,188191,864
tickets_last_30_days,99.54,188191,864
gmv_last_30_days,99.55,188200,855
location_street,99.55,188210,845
transaction_count_last_30_days,99.55,188200,855
country_code,99.56,188232,823
location_city,99.56,188227,828
location_state,99.57,188234,821
account_segment,99.63,188350,705
ads_is_adopted,99.63,188351,704
has_active_toast_checking_account,99.63,188350,705
has_ads,99.63,188351,704
has_branded_mobile_app,99.63,188351,704
has_completed_lease,99.63,188350,705
has_ever_had_toast_capital,99.63,188350,705
has_onboarded_ads,99.63,188351,704
has_skip,99.63,188350,705
has_used_instant_deposit,99.63,188350,705
is_actively_surcharging,99.63,188350,705
location_name,99.63,188350,705
restaurant_service_model,99.63,188350,705
restaurant_type,99.63,188350,705
skip_is_adopted,99.63,188350,705
in_toast_now_pilot,99.69,188474,581
payment_processing_vendor,99.71,188515,540
is_managed,99.87,188802,253
toastorders_shard,99.99,189033,22
cande_free_trial_abandoned,100.0,189048,7
catering_and_events_transaction_count_last_30_days,100.0,189048,7
gc_is_adopted,100.0,189048,7
