field_name,avg_len,non_empty_count
products_purchased,210.7,188474
id,36.0,189753
toastorders_shard,36.0,189731
ads_activation_date,24.0,3083
ads_first_order_date,24.0,3083
ads_provisioned_date,24.0,7233
ads_purchased_date,24.0,8063
any3po_provisioned_date,24.0,64049
any3po_purchased_date,24.0,69930
branded_mobile_app_activation_date,24.0,2728
branded_mobile_app_first_usage_date,24.0,2954
branded_mobile_app_purchased_date,24.0,5861
cande_free_trial_start_date,24.0,12304
catering_and_events_activation_date,24.0,8309
catering_and_events_first_order_date,24.0,9390
