field_name,est_mib,pct_total,kind,non_empty_count
products_purchased,37.88,18.13,string,188474
id,6.51,3.12,datetime,189753
toastorders_shard,6.51,3.12,datetime,189731
new_or_existing_restaurant,4.2,2.01,datetime,187919
location_name,3.93,1.88,string,189046
go_live_date,3.92,1.88,datetime,171246
rsm_email,3.82,1.83,string,171620
location_street,3.48,1.67,string,188904
muo,3.44,1.65,string,188336
account_restaurant_category,3.0,1.43,datetime,188765
account_rsm,2.95,1.41,string,171695
order_with_google_provisioned_date,2.52,1.2,datetime,109923
tto_purchased_date,2.44,1.17,datetime,106492
gc_purchased_date,2.42,1.16,datetime,105599
oo_purchased_date,2.39,1.14,datetime,104286
order_with_google_purchased_date,2.39,1.14,datetime,104286
restaurant_type,2.26,1.08,string,189046
tto_provisioned_date,2.24,1.07,datetime,97683
gc_provisioned_date,2.23,1.07,datetime,97222
oo_provisioned_date,2.17,1.04,datetime,94970
kds_purchased_date,2.02,0.97,datetime,88476
gc_first_order_date,1.87,0.9,datetime,81822
kds_provisioned_date,1.85,0.88,datetime,80639
oo_first_order_date,1.83,0.88,datetime,79884
tds_purchased_date,1.79,0.86,datetime,78145
