field_name,field_type,is_custom,last_seen
rsm_email,String,True,2026-02-11
tds_purchased_date,String,True,2026-02-11
order_with_google_purchased_date,String,True,2026-02-11
online_ordering_pro_activation_date,String,True,2026-02-11
has_branded_mobile_app,String,True,2026-02-11
has_loyalty,String,True,2026-02-11
any3po_provisioned_date,String,True,2026-02-11
has_open_catering_and_events_pro_opportunity,String,True,2026-02-11
kds_provisioned_date,String,True,2026-02-11
toast_retail_provisioned_date,String,True,2026-02-11
kiosk_is_adopted,String,True,2026-02-11
transaction_count_last_30_days,String,True,2026-02-11
has_toast_websites,String,True,2026-02-11
has_completed_lease,String,True,2026-02-11
has_over_400_menu_items,String,True,2026-02-11
loyalty_provisioned_date,String,True,2026-02-11
ads_activation_date,String,True,2026-02-11
kiosk_activation_date,String,True,2026-02-11
catering_online_ordering_provisioned_date,String,True,2026-02-11
has_1_or_more_invoices_processed_past_90_days,String,True,2026-02-11
has_oo,String,True,2026-02-11
has_toast_tables,String,True,2026-02-11
tto_purchased_date,String,True,2026-02-11
rsm_first_name,String,True,2026-02-11
xtrachef_recipe_activation_date,String,True,2026-02-11
ads_purchased_date,String,True,2026-02-11
toast_retail_purchased_date,String,True,2026-02-11
catering_and_events_transaction_count_last_30_days,String,True,2026-02-11
parent_account_payroll_provisioned_date,String,True,2026-02-11
gmv_last_30_days,String,True,2026-02-11
has_catering_and_events,String,True,2026-02-11
has_kds,String,True,2026-02-11
location_city,String,True,2026-02-11
has_xtrachef_recipe,String,True,2026-02-11
red_flag_tickets_last_30_days,String,True,2026-02-11
tds_orders_last_30_days,String,True,2026-02-11
rsm_last_name,String,True,2026-02-11
catering_and_events_provisioned_date,String,True,2026-02-11
has_biweekly_timesheet_export,String,True,2026-02-11
doordash_purchased_date,String,True,2026-02-11
branded_mobile_app_first_usage_date,String,True,2026-02-11
has_oo_menu_visible,String,True,2026-02-11
ads_first_order_date,String,True,2026-02-11
has_catering_online_ordering,String,True,2026-02-11
new_or_existing_restaurant,String,True,2026-02-11
tto_provisioned_date,String,True,2026-02-11
has_ads,String,True,2026-02-11
gc_first_order_date,String,True,2026-02-11
catering_and_events_purchased_date,String,True,2026-02-11
toast_retail_first_order_date,String,True,2026-02-11
tip_amount_last_30_days,String,True,2026-02-11
tds_is_adopted,String,True,2026-02-11
marketing_purchased_date,String,True,2026-02-11
gc_purchased_date,String,True,2026-02-11
toast_tables_plus_first_booking_date,String,True,2026-02-11
kds_is_adopted,String,True,2026-02-11
customer_health_score_factor_1,String,True,2026-02-11
tenth_cande_free_trial_order_date,String,True,2026-02-11
has_gc,String,True,2026-02-11
xtrachef_ap_provisioned_date,String,True,2026-02-11
oo_provisioned_date,String,True,2026-02-11
has_catering_related_revenue_center,String,True,2026-02-11
first_cande_free_trial_order_date,String,True,2026-02-11
oo_settings_task_completed,String,True,2026-02-11
catering_and_events_first_order_date,String,True,2026-02-11
ubereats_first_order_date,String,True,2026-02-11
opt_purchased_date,String,True,2026-02-11
grubhub_purchased_date,String,True,2026-02-11
catering_and_events_total_order_types,String,True,2026-02-11
ads_is_adopted,String,True,2026-02-11
marketing_is_adopted,String,True,2026-02-11
skip_first_order_date,String,True,2026-02-11
toast_tables_first_booking_date,String,True,2026-02-11
has_catering_related_dining_option,String,True,2026-02-11
go_live_date,String,True,2026-02-11
has_catering_related_menu_item,String,True,2026-02-11
toast_tables_bookings_last_30_days,String,True,2026-02-11
gpv_last_30_days,String,True,2026-02-11
total_timesheet_edits,String,True,2026-02-11
skip_purchased_date,String,True,2026-02-11
id,String,False,2026-02-11
grubhub_first_order_date,String,True,2026-02-11
customer_health_score_factor_2,String,True,2026-02-11
is_finance_contact,String,True,2026-02-11
oo_activation_date,String,True,2026-02-11
has_opt,String,True,2026-02-11
avg_csat_score_last_90_days,String,True,2026-02-11
has_toast_retail,String,True,2026-02-11
stp_purchased_date,String,True,2026-02-11
has_shared_employees,String,True,2026-02-11
catering_online_ordering_activation_date,String,True,2026-02-11
marketing_provisioned_date,String,True,2026-02-11
gmv_tier,String,True,2026-02-11
sling_premium_plan_start_date,String,True,2026-02-11
toast_tables_plus_purchased_date,String,True,2026-02-11
has_online_ordering_pro,String,True,2026-02-11
has_cbg_related_menu_item,String,True,2026-02-11
rma_requests_last_30_days,String,True,2026-02-11
is_managed,String,True,2026-02-11
xtrachef_inventory_activation_date,String,True,2026-02-11
has_active_toast_checking_account,String,True,2026-02-11
order_with_google_activation_date,String,True,2026-02-11
fifth_cande_free_trial_order_date,String,True,2026-02-11
avg_check_size_last_30_days,String,True,2026-02-11
oo_first_order_date,String,True,2026-02-11
toast_tables_plus_provisioned_date,String,True,2026-02-11
